taxonID	scientificName	higherClassification	kingdom	phylum	class	order	family	genus	specificEpithet	infraspecificEpithet	taxonRank	scientificNameAuthorship
agarics:ukraine:taxon:1	Agaricus abruptibulbus	Fungi | Basidiomycota | Agaricomycetes | Agaricales | Agaricaceae | Agaricus	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	abruptibulbus		species	Peck
agarics:ukraine:taxon:2	Agaricus altipes	Fungi | Basidiomycota | Agaricomycetes | Agaricales | Agaricaceae | Agaricus	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	altipes		species	(F.H.Møller) F.H.Møller
agarics:ukraine:taxon:3	Agaricus amanitaeformis	Fungi | Basidiomycota | Agaricomycetes | Agaricales | Agaricaceae | Agaricus	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	amanitaeformis		species	Wasser
agarics:ukraine:taxon:4	Agaricus amethystinus	Fungi | Basidiomycota | Agaricomycetes | Agaricales | Agaricaceae | Agaricus	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	amethystinus		species	Quél.
agarics:ukraine:taxon:5	Agaricus arvensis	Fungi | Basidiomycota | Agaricomycetes | Agaricales | Agaricaceae | Agaricus	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	arvensis		species	Schaeff.
agarics:ukraine:taxon:6	Agaricus arvensis macrolepis	Fungi | Basidiomycota | Agaricomycetes | Agaricales | Agaricaceae | Agaricus	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	arvensis	macrolepis	varietas	Pilát & Pouzar
agarics:ukraine:taxon:7	Agaricus augustus	Fungi | Basidiomycota | Agaricomycetes | Agaricales | Agaricaceae | Agaricus	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	augustus		species	Fr.
agarics:ukraine:taxon:8	Agaricus benesii	Fungi | Basidiomycota | Agaricomycetes | Agaricales | Agaricaceae | Agaricus	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	benesii		species	(Pilát) Pilát
agarics:ukraine:taxon:9	Agaricus bernardii	Fungi | Basidiomycota | Agaricomycetes | Agaricales | Agaricaceae | Agaricus	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	bernardii		species	Quél.
agarics:ukraine:taxon:10	Agaricus bernardiiformis	Fungi | Basidiomycota | Agaricomycetes | Agaricales | Agaricaceae | Agaricus	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	bernardiiformis		species	Bohus
agarics:ukraine:taxon:11	Agaricus bisporus	Fungi | Basidiomycota | Agaricomycetes | Agaricales | Agaricaceae | Agaricus	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	bisporus		species	(J.E.Lange) Imbach
agarics:ukraine:taxon:12	Agaricus bitorquis	Fungi | Basidiomycota | Agaricomycetes | Agaricales | Agaricaceae | Agaricus	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	bitorquis		species	(Quél.) Sacc.
agarics:ukraine:taxon:13	Agaricus bitorquis validus	Fungi | Basidiomycota | Agaricomycetes | Agaricales | Agaricaceae | Agaricus	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	bitorquis	validus	varietas	(F.H.Møller) Bon & Cappelli
agarics:ukraine:taxon:14	Agaricus bresadolanus	Fungi | Basidiomycota | Agaricomycetes | Agaricales | Agaricaceae | Agaricus	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	bresadolanus		species	Bohus
