scientificName,kingdom
Adelolecia kolaensis (Nyl.) Hertel & Rambold,Fungi
Adelolecia pilati (Hepp) Hertel & Hafellner,Fungi
Alectoria ochroleuca (Hoffm.) A. Massal.,Fungi
Alectoria mirabilis Mot.,Fungi
Alectoria sarmentosa (Ach.) Ach.,Fungi
Allantoparmelia alpicola (Th. Fr.) Essl,Fungi
Allocetraria madreporiformis (Anzi) Kärnefelt & A. Thell,Fungi
Allocetraria oakesiana Tuck.,Fungi
Arctoparmelia centrifuga (L.) Hale,Fungi
Arctoparmelia incurva (Pers.) Hale,Fungi
Arthrosporum populorum A. Massal.,Fungi
Bacidia absistens (Nyl.) Arnold,Fungi
"Bacidia albogranulosa Malíček, Palice, Vondrák & Kukwa",Fungi
Bacidia arceutina (Ach.) Arnold,Fungi
Bacidia arnoldiana Körb.,Fungi
Bacidia assulata (Körb.) Vězda,Fungi
Bacidia auerswaldii (Hepp ex Stizenb.) Mig.,Fungi
Bacidia bagliettoana (A. Massal. & De Not.) Jatta,Fungi
Bacidia beckhausii Körb.,Fungi
Bacidia circumspecta (Norrl. & Nyl.) Malme,Fungi
Bacidia delicata (Larbal. ex Leight.) Coppins,Fungi
Bacidia egenula (Nyl.) Arnold ,Fungi
Bacidia fraxinea Lönnr.,Fungi
Bacidia friesiana (Hepp) Körb.,Fungi
Bacidia igniarii (Nyl.) Oxner ,Fungi
Bacidia incompta (Borrer ex Hook.) Anzi,Fungi
Bacidia inundata (Fr.) Körb.,Fungi
Bacidia laurocerasi (Delise ex Duby) Zahlbr.,Fungi
Bacidia phacodes Körb. ,Fungi
Bacidia polychroa (Th. Fr.) Körb.,Fungi
Bacidia pycnidiata Czarnota & Coppins,Fungi
Bacidia rosella (Pers.) De Not.,Fungi
Bacidia rubella (Hoffm.) A. Massal.,Fungi
Bacidia subacerina (Nyl.) Vainio,Fungi
Bacidia subincompta (Nyl.) Arnold,Fungi
Bacidia trachona (Ach.) Lettau,Fungi
Bacidia viridofarinosa Coppins & P. James,Fungi
Bacidina adastra (Sparrius & Aptroot) M. Hauck & V. Wirth,Fungi
Bacidina chloroticula (Nyl.) Vězda & Poelt,Fungi
Bacidina etayana (van den Boom & Vězda) M. Hauck & V. Wirth,Fungi
Bacidina mendax Czarnota & Guz.-Krzem.,Fungi
Bacidina sulphurella (Samp.) Hauck & V. Wirth,Fungi
"Bibbya vermifera (Nyl.) Kistenich, Timdal, Bendiksby & S. Ekman",Fungi
Bilimbia coprodes Körb.,Fungi
Bilimbia lobulata (Sommerf.) Hafellner et Coppins,Fungi
Bilimbia pulchra (Oxner) Oxner,Fungi
Bilimbia sabuletorum (Schreb.) Arnold,Fungi
Brianaria bauschiana (Körb.) S. Ekman & M. Svenss.,Fungi
Brianaria sylvicola (Flot. ex Körb.) S. Ekman & M. Svensson,Fungi
Bryodina rhypariza (Nyl.) Hafellner ,Fungi
Bryopogon negativus Gyeln.,Fungi
Bryoria bicolor (Ehrh.) Brodo & D. Hawksw.,Fungi
Bryoria capillaris (Ach.) Brodo & D. Hawksw.,Fungi
Bryoria carpatica (Motyka) Golubk.,Fungi
Bryoria chalybeiformis (L.) Brodo & D. Hawksw.,Fungi
Bryoria divergenscens (Nyl.) Brodo & D. Hawksw.,Fungi
Bryoria furcellata (Fr.) Brodo & D. Hawksw.,Fungi
Bryoria fuscescens (Gyeln.) Brodo & D. Hawksw.,Fungi
Bryoria implexa (Hoffm.) Brodo & D. Hawksw.,Fungi
Bryoria intricans (Vainio) Brodo & D. Hawksw.,Fungi
Bryoria jubata (L.) Bystrek.,Fungi
Bryoria kummerlaena (Gyeln.) Brodo & D. Hawksw.,Fungi
Bryoria lanestris (Ach.) Brodo & D. Hawksw.,Fungi
Bryoria nadvornikiana (Gyeln.) Brodo & D. Hawksw.,Fungi
Bryoria nitidula (Th. Fr.) Brodo & D. Hawksw.,Fungi
Bryoria osteola (Gyeln.) Brodo & D. Hawksw.,Fungi
Bryoria positiva (Gyelnik) Bystrek,Fungi
Bryoria pseudocyphellata Bystrek,Fungi
Bryoria setacea (Ach.) Brodo & D. Hawksw.,Fungi
Bryoria smithii (Du Rietz) Brodo & D. Hawksw.,Fungi
Bryoria subcana (Nyl. ex Stizenb.) Brodo & D. Hawksw.,Fungi
Bryoria tortuosa (G. Merr.) Brodo & D. Hawksw.,Fungi
Bryoria vrangiana (Gyeln.) Brodo & D. Hawksw.,Fungi
Byssoloma subdiscordans (Nyl.) P. James,Fungi
Byssoloma tricholomum (Mont.) Zahlbr.,Fungi
Calvitimela algaea (Sommerf.) Hafellner,Fungi
Calvitimela armeniaca (DC.) Hafellner,Fungi
Carbonea aggregantula (Mull. Arg.) Diederich & Triebel,Fungi
Carbonea assimilis (Körber) Hafellner & Hertel,Fungi
Carbonea invadens (H. Magn.) M.P. Andreev,Fungi
Carbonea supersparsa (Nyl.) Hertel,Fungi
Carbonea vitellinaria (Nyl.) Hertel ,Fungi
Carbonea vorticosa (Flörke) Hertel,Fungi
Carbonicola anthracophila (Nyl.) Bendiksby & Timdal,Fungi
Catillaria atomarioides (Müll. Arg.) H. Kilias,Fungi
Catillaria chalybaea (Borrer) A. Massal.,Fungi
Catillaria detractula (Nyl.) H. Olivier,Fungi
Catillaria erysiboides (Nyl.) Th. Fr.,Fungi
Catillaria lenticularis (Ach.) Th. Fr.,Fungi
Catillaria minuta (Schaer.) Lettau ,Fungi
Catillaria nigroclavata (Nyl.) Schuler,Fungi
Catillaria picila (A. Massal.) Coppins ,Fungi
Catillaria subviridis (Nyl.) Zahlbr.,Fungi
Catinaria atropurpurea (Schaer.) Vězda & Poelt,Fungi
Cetraria aculeata (Schreb.) Fr.,Fungi
Cetraria ericetorum Opiz,Fungi
Cetraria islandica (L.) Ach.,Fungi
Cetraria muricata (Ach.) Eckfeldt,Fungi
Cetraria ramulosa (Hook. f.) Tuck.,Fungi
Cetraria steppae (Savicz) Kärnef.,Fungi
Cetrelia cetrarioides (Del. ex Duby) W.L. Culb. & C. Culb.,Fungi
Cetrelia chicitae (W.L. Culb.) W.L. Culb. & C.F. Culb.,Fungi
Cetrelia monachorum (Zahlbr.) W.L. Culb. & C. Culb.,Fungi
Cetrelia olivetorum (Nyl.) W.L. Culb. & C. Culb. ,Fungi
Cladonia arbuscula (Wallr.) Hale et W. L. Culb. ,Fungi
Cladonia bacillaris Nyl. ,Fungi
Cladonia bacilliformis (Nyl.) Sarnth.,Fungi
Cladonia bellidiflora (Ach.) Schaer.,Fungi
Cladonia botrytes (Hagen) Willd. ,Fungi
Cladonia caespiticia (Pers.) Flörke ,Fungi
Cladonia capitellata (Hook. f. et Taylor) C. Bab.,Fungi
Cladonia cariosa (Ach.) Spreng.,Fungi
Cladonia carneola (Fr.) Fr.,Fungi
Cladonia cenotea (Ach.) Schaer.,Fungi
Cladonia cervicornis (Ach.) Flot,Fungi
Cladonia chlorophaea (Flörke ex Sommerf.) Spreng.,Fungi
Cladonia ciliata Stirt.,Fungi
Cladonia coccifera (L.) Willd.,Fungi
Cladonia coniocraea (Flörke) Vainio ,Fungi
Cladonia convoluta (Lam.) Cout.,Fungi
Cladonia cornuta (L.) Hoffm.,Fungi
Cladonia crispata (Ach.) Flot. ,Fungi
